division,xenophon,lazaraus,agreement,,,Total agreements,Total both present,Agreement %
3715,aye,aye,1,,,,,
3714,aye,aye,1,,,,,
3721,aye,aye,1,,,,,
3727,aye,aye,1,,,,,
3724,aye,aye,1,,,,,
3735,aye,aye,1,,,,,
3734,aye,aye,1,,,,,
3751,aye,aye,1,,,,,
3750,aye,aye,1,,,,,
3744,aye,aye,1,,,,,
3743,aye,aye,1,,,,,
3742,aye,aye,1,,,,,
3766,aye,aye,1,,,,,
3765,aye,aye,1,,,,,
3764,aye,aye,1,,,,,
3763,aye,aye,1,,,,,
3762,aye,aye,1,,,,,
3761,aye,aye,1,,,,,
3759,aye,aye,1,,,,,
3758,aye,aye,1,,,,,
3756,aye,aye,1,,,,,
3768,aye,aye,1,,,,,
3798,aye,aye,1,,,,,
3805,aye,aye,1,,,,,
3804,aye,aye,1,,,,,
3803,aye,aye,1,,,,,
3802,aye,aye,1,,,,,
3801,aye,aye,1,,,,,
3900,aye,aye,1,,,,,
3894,aye,aye,1,,,,,
3824,aye,aye,1,,,,,
3837,aye,aye,1,,,,,
3831,aye,aye,1,,,,,
3848,aye,aye,1,,,,,
3847,aye,aye,1,,,,,
3846,aye,aye,1,,,,,
3845,aye,aye,1,,,,,
3865,aye,aye,1,,,,,
3862,aye,aye,1,,,,,
3861,aye,aye,1,,,,,
3857,aye,aye,1,,,,,
3855,aye,aye,1,,,,,
3870,aye,aye,1,,,,,
3869,aye,aye,1,,,,,
3876,aye,aye,1,,,,,
3873,aye,aye,1,,,,,
3872,aye,aye,1,,,,,
3891,aye,aye,1,,,,,
3878,aye,aye,1,,,,,
3884,aye,aye,1,,,,,
3883,aye,aye,1,,,,,
3882,aye,aye,1,,,,,
3889,aye,aye,1,,,,,
3901,aye,aye,1,,,,,
3914,aye,aye,1,,,,,
3913,aye,aye,1,,,,,
3921,aye,aye,1,,,,,
3920,aye,aye,1,,,,,
3932,aye,aye,1,,,,,
3931,aye,aye,1,,,,,
3941,aye,aye,1,,,,,
3940,aye,aye,1,,,,,
3939,aye,aye,1,,,,,
3934,aye,aye,1,,,,,
3947,aye,aye,1,,,,,
3946,aye,aye,1,,,,,
3945,aye,aye,1,,,,,
3944,aye,aye,1,,,,,
3942,aye,aye,1,,,,,
3958,aye,aye,1,,,,,
3955,aye,aye,1,,,,,
3960,aye,aye,1,,,,,
3959,aye,aye,1,,,,,
3973,aye,aye,1,,,,,
3972,aye,aye,1,,,,,
3979,aye,aye,1,,,,,
3983,aye,aye,1,,,,,
3982,aye,aye,1,,,,,
3981,aye,aye,1,,,,,
3989,aye,aye,1,,,,,
3987,aye,aye,1,,,,,
3995,aye,aye,1,,,,,
3994,aye,aye,1,,,,,
4002,aye,aye,1,,,,,
4009,aye,aye,1,,,,,
4007,aye,aye,1,,,,,
4012,aye,aye,1,,,,,
4028,aye,aye,1,,,,,
4026,aye,aye,1,,,,,
4047,aye,aye,1,,,,,
4046,aye,aye,1,,,,,
4044,aye,aye,1,,,,,
4043,aye,aye,1,,,,,
4040,aye,aye,1,,,,,
4052,aye,aye,1,,,,,
4062,aye,aye,1,,,,,
4060,aye,aye,1,,,,,
4084,aye,aye,1,,,,,
4081,aye,aye,1,,,,,
4079,aye,aye,1,,,,,
4091,aye,aye,1,,,,,
4099,aye,aye,1,,,,,
4098,aye,aye,1,,,,,
4097,aye,aye,1,,,,,
4102,aye,aye,1,,,,,
3294,no,no,1,,,,,
3293,no,no,1,,,,,
3306,no,no,1,,,,,
3303,no,no,1,,,,,
3302,no,no,1,,,,,
3313,no,no,1,,,,,
3311,no,no,1,,,,,
3336,no,no,1,,,,,
3343,no,no,1,,,,,
3419,no,no,1,,,,,
3544,no,no,1,,,,,
3429,no,no,1,,,,,
3428,no,no,1,,,,,
3446,no,no,1,,,,,
3443,no,no,1,,,,,
3571,no,no,1,,,,,
3570,no,no,1,,,,,
3568,no,no,1,,,,,
3579,no,no,1,,,,,
3578,no,no,1,,,,,
3606,no,no,1,,,,,
3610,no,no,1,,,,,
3634,no,no,1,,,,,
3630,no,no,1,,,,,
3661,no,no,1,,,,,
3657,no,no,1,,,,,
3653,no,no,1,,,,,
3670,no,no,1,,,,,
3678,no,no,1,,,,,
3683,no,no,1,,,,,
3708,no,no,1,,,,,
3717,no,no,1,,,,,
3736,no,no,1,,,,,
3745,no,no,1,,,,,
3767,no,no,1,,,,,
3774,no,no,1,,,,,
3797,no,no,1,,,,,
3830,no,no,1,,,,,
3863,no,no,1,,,,,
3859,no,no,1,,,,,
3875,no,no,1,,,,,
3881,no,no,1,,,,,
3880,no,no,1,,,,,
3910,no,no,1,,,,,
3933,no,no,1,,,,,
3936,no,no,1,,,,,
3935,no,no,1,,,,,
3943,no,no,1,,,,,
3978,no,no,1,,,,,
3990,no,no,1,,,,,
4005,no,no,1,,,,,
4008,no,no,1,,,,,
4045,no,no,1,,,,,
4042,no,no,1,,,,,
4051,no,no,1,,,,,
4050,no,no,1,,,,,
3304,aye,no,0,,,,,
3315,aye,no,0,,,,,
3314,aye,no,0,,,,,
3341,aye,no,0,,,,,
3387,aye,no,0,,,,,
3386,aye,no,0,,,,,
3385,aye,no,0,,,,,
3416,aye,no,0,,,,,
3414,aye,no,0,,,,,
3546,aye,no,0,,,,,
3543,aye,no,0,,,,,
3435,aye,no,0,,,,,
3433,aye,no,0,,,,,
3440,aye,no,0,,,,,
3438,aye,no,0,,,,,
3445,aye,no,0,,,,,
3444,aye,no,0,,,,,
3459,aye,no,0,,,,,
3565,aye,no,0,,,,,
3598,aye,no,0,,,,,
3597,aye,no,0,,,,,
3596,aye,no,0,,,,,
3595,aye,no,0,,,,,
3593,aye,no,0,,,,,
3592,aye,no,0,,,,,
3590,aye,no,0,,,,,
3588,aye,no,0,,,,,
3605,aye,no,0,,,,,
3601,aye,no,0,,,,,
3642,aye,no,0,,,,,
3699,aye,no,0,,,,,
3705,aye,no,0,,,,,
3702,aye,no,0,,,,,
3725,aye,no,0,,,,,
3740,aye,no,0,,,,,
3760,aye,no,0,,,,,
3799,aye,no,0,,,,,
3806,aye,no,0,,,,,
3899,aye,no,0,,,,,
3895,aye,no,0,,,,,
3816,aye,no,0,,,,,
3828,aye,no,0,,,,,
3827,aye,no,0,,,,,
3838,aye,no,0,,,,,
3834,aye,no,0,,,,,
3833,aye,no,0,,,,,
3832,aye,no,0,,,,,
3868,aye,no,0,,,,,
3860,aye,no,0,,,,,
3856,aye,no,0,,,,,
3879,aye,no,0,,,,,
3877,aye,no,0,,,,,
3927,aye,no,0,,,,,
3992,aye,no,0,,,,,
3991,aye,no,0,,,,,
4006,aye,no,0,,,,,
4013,aye,no,0,,,,,
4027,aye,no,0,,,,,
4041,aye,no,0,,,,,
4048,aye,no,0,,,,,
4104,aye,no,0,,,,,
4103,aye,no,0,,,,,
3296,no,aye,0,,,,,
3301,no,aye,0,,,,,
3316,no,aye,0,,,,,
3310,no,aye,0,,,,,
3309,no,aye,0,,,,,
3308,no,aye,0,,,,,
3418,no,aye,0,,,,,
3417,no,aye,0,,,,,
3415,no,aye,0,,,,,
3413,no,aye,0,,,,,
3412,no,aye,0,,,,,
3411,no,aye,0,,,,,
3434,no,aye,0,,,,,
3432,no,aye,0,,,,,
3447,no,aye,0,,,,,
3563,no,aye,0,,,,,
3562,no,aye,0,,,,,
3572,no,aye,0,,,,,
3594,no,aye,0,,,,,
3591,no,aye,0,,,,,
3589,no,aye,0,,,,,
3609,no,aye,0,,,,,
3633,no,aye,0,,,,,
3668,no,aye,0,,,,,
3686,no,aye,0,,,,,
3697,no,aye,0,,,,,
3807,no,aye,0,,,,,
3829,no,aye,0,,,,,
3836,no,aye,0,,,,,
3835,no,aye,0,,,,,
3867,no,aye,0,,,,,
3874,no,aye,0,,,,,
3907,no,aye,0,,,,,
3922,no,aye,0,,,,,
3919,no,aye,0,,,,,
3996,no,aye,0,,,,,
4014,no,aye,0,,,,,
4059,no,aye,0,,,,,
4095,no,aye,0,,,,,
3006,aye,,,,,,,
3005,aye,,,,,,,
3002,aye,,,,,,,
3015,aye,,,,,,,
3014,aye,,,,,,,
3011,aye,,,,,,,
3008,aye,,,,,,,
3031,aye,,,,,,,
3029,aye,,,,,,,
3036,aye,,,,,,,
3075,aye,,,,,,,
3074,aye,,,,,,,
3073,aye,,,,,,,
3083,aye,,,,,,,
3082,aye,,,,,,,
3085,aye,,,,,,,
3084,aye,,,,,,,
3154,aye,,,,,,,
3163,aye,,,,,,,
3167,aye,,,,,,,
3165,aye,,,,,,,
3173,aye,,,,,,,
3171,aye,,,,,,,
3170,aye,,,,,,,
3182,aye,,,,,,,
3188,aye,,,,,,,
3201,aye,,,,,,,
3204,aye,,,,,,,
3223,aye,,,,,,,
3221,aye,,,,,,,
3220,aye,,,,,,,
3225,aye,,,,,,,
3224,aye,,,,,,,
3234,aye,,,,,,,
3233,aye,,,,,,,
3232,aye,,,,,,,
3246,aye,,,,,,,
3245,aye,,,,,,,
3244,aye,,,,,,,
3263,aye,,,,,,,
3520,aye,,,,,,,
3283,aye,,,,,,,
3282,aye,,,,,,,
3281,aye,,,,,,,
3280,aye,,,,,,,
3279,aye,,,,,,,
3278,aye,,,,,,,
3277,aye,,,,,,,
3307,aye,,,,,,,
3318,aye,,,,,,,
3317,aye,,,,,,,
3330,aye,,,,,,,
3340,aye,,,,,,,
3339,aye,,,,,,,
3404,aye,,,,,,,
3629,aye,,,,,,,
3628,aye,,,,,,,
3627,aye,,,,,,,
3712,aye,,,,,,,
3749,aye,,,,,,,
3741,aye,,,,,,,
3757,aye,,,,,,,
3783,aye,,,,,,,
3782,aye,,,,,,,
3893,aye,,,,,,,
4039,aye,,,,,,,
4038,aye,,,,,,,
4049,aye,,,,,,,
4090,aye,,,,,,,
3016,no,,,,,,,
3012,no,,,,,,,
3030,no,,,,,,,
3037,no,,,,,,,
3081,no,,,,,,,
3088,no,,,,,,,
3152,no,,,,,,,
3160,no,,,,,,,
3159,no,,,,,,,
3169,no,,,,,,,
3181,no,,,,,,,
3187,no,,,,,,,
3239,no,,,,,,,
3231,no,,,,,,,
3243,no,,,,,,,
3264,no,,,,,,,
3276,no,,,,,,,
3332,no,,,,,,,
3583,no,,,,,,,
3582,no,,,,,,,
3700,no,,,,,,,
3815,no,,,,,,,
4092,no,,,,,,,
3300,,aye,,,,,,
3299,,aye,,,,,,
3298,,aye,,,,,,
3297,,aye,,,,,,
3335,,aye,,,,,,
3372,,aye,,,,,,
3371,,aye,,,,,,
3531,,aye,,,,,,
3529,,aye,,,,,,
3527,,aye,,,,,,
3526,,aye,,,,,,
3369,,aye,,,,,,
3368,,aye,,,,,,
3366,,aye,,,,,,
3365,,aye,,,,,,
3363,,aye,,,,,,
3361,,aye,,,,,,
3360,,aye,,,,,,
3359,,aye,,,,,,
3358,,aye,,,,,,
3357,,aye,,,,,,
3380,,aye,,,,,,
3388,,aye,,,,,,
3421,,aye,,,,,,
3426,,aye,,,,,,
3442,,aye,,,,,,
3441,,aye,,,,,,
3455,,aye,,,,,,
3454,,aye,,,,,,
3453,,aye,,,,,,
3451,,aye,,,,,,
3461,,aye,,,,,,
3608,,aye,,,,,,
3607,,aye,,,,,,
3624,,aye,,,,,,
3623,,aye,,,,,,
3622,,aye,,,,,,
3632,,aye,,,,,,
3644,,aye,,,,,,
3643,,aye,,,,,,
3667,,aye,,,,,,
3677,,aye,,,,,,
3676,,aye,,,,,,
3706,,aye,,,,,,
3704,,aye,,,,,,
3716,,aye,,,,,,
3720,,aye,,,,,,
3732,,aye,,,,,,
3731,,aye,,,,,,
3730,,aye,,,,,,
3729,,aye,,,,,,
3726,,aye,,,,,,
3748,,aye,,,,,,
3739,,aye,,,,,,
3777,,aye,,,,,,
3781,,aye,,,,,,
3819,,aye,,,,,,
3825,,aye,,,,,,
3866,,aye,,,,,,
3864,,aye,,,,,,
3892,,aye,,,,,,
3909,,aye,,,,,,
3929,,aye,,,,,,
3938,,aye,,,,,,
3937,,aye,,,,,,
3949,,aye,,,,,,
3961,,aye,,,,,,
3971,,aye,,,,,,
3965,,aye,,,,,,
4010,,aye,,,,,,
4083,,aye,,,,,,
4082,,aye,,,,,,
4101,,aye,,,,,,
3295,,no,,,,,,
3334,,no,,,,,,
3539,,no,,,,,,
3538,,no,,,,,,
3537,,no,,,,,,
3536,,no,,,,,,
3535,,no,,,,,,
3533,,no,,,,,,
3532,,no,,,,,,
3530,,no,,,,,,
3528,,no,,,,,,
3525,,no,,,,,,
3524,,no,,,,,,
3370,,no,,,,,,
3367,,no,,,,,,
3364,,no,,,,,,
3356,,no,,,,,,
3355,,no,,,,,,
3545,,no,,,,,,
3427,,no,,,,,,
3425,,no,,,,,,
3439,,no,,,,,,
3452,,no,,,,,,
3564,,no,,,,,,
3621,,no,,,,,,
3620,,no,,,,,,
3619,,no,,,,,,
3625,,no,,,,,,
3635,,no,,,,,,
3660,,no,,,,,,
3648,,no,,,,,,
3647,,no,,,,,,
3707,,no,,,,,,
3719,,no,,,,,,
3718,,no,,,,,,
3728,,no,,,,,,
3747,,no,,,,,,
3746,,no,,,,,,
3738,,no,,,,,,
3779,,no,,,,,,
3778,,no,,,,,,
3776,,no,,,,,,
3775,,no,,,,,,
3780,,no,,,,,,
3898,,no,,,,,,
3897,,no,,,,,,
3896,,no,,,,,,
3817,,no,,,,,,
3826,,no,,,,,,
3844,,no,,,,,,
3858,,no,,,,,,
3885,,no,,,,,,
3888,,no,,,,,,
3887,,no,,,,,,
3908,,no,,,,,,
3916,,no,,,,,,
3915,,no,,,,,,
3928,,no,,,,,,
3930,,no,,,,,,
3948,,no,,,,,,
3970,,no,,,,,,
3969,,no,,,,,,
3966,,no,,,,,,
3988,,no,,,,,,
4004,,no,,,,,,
4003,,no,,,,,,
4029,,no,,,,,,
4053,,no,,,,,,
4061,,no,,,,,,
4080,,no,,,,,,
4096,,no,,,,,,
3004,,,,,,,,
3003,,,,,,,,
3013,,,,,,,,
3010,,,,,,,,
3009,,,,,,,,
3007,,,,,,,,
3032,,,,,,,,
3035,,,,,,,,
3034,,,,,,,,
3033,,,,,,,,
3038,,,,,,,,
3080,,,,,,,,
3079,,,,,,,,
3078,,,,,,,,
3077,,,,,,,,
3076,,,,,,,,
3087,,,,,,,,
3086,,,,,,,,
3153,,,,,,,,
3155,,,,,,,,
3157,,,,,,,,
3156,,,,,,,,
3158,,,,,,,,
3162,,,,,,,,
3161,,,,,,,,
3168,,,,,,,,
3166,,,,,,,,
3164,,,,,,,,
3172,,,,,,,,
3174,,,,,,,,
3180,,,,,,,,
3179,,,,,,,,
3178,,,,,,,,
3177,,,,,,,,
3176,,,,,,,,
3175,,,,,,,,
3191,,,,,,,,
3190,,,,,,,,
3202,,,,,,,,
3200,,,,,,,,
3199,,,,,,,,
3198,,,,,,,,
3205,,,,,,,,
3203,,,,,,,,
3222,,,,,,,,
3236,,,,,,,,
3235,,,,,,,,
3242,,,,,,,,
3241,,,,,,,,
3262,,,,,,,,
3292,,,,,,,,
3291,,,,,,,,
3290,,,,,,,,
3289,,,,,,,,
3329,,,,,,,,
3534,,,,,,,,
3362,,,,,,,,
3456,,,,,,,,
3449,,,,,,,,
3561,,,,,,,,
3560,,,,,,,,
3611,,,,,,,,
3626,,,,,,,,
3675,,,,,,,,
3684,,,,,,,,
3769,,,,,,,,
3800,,,,,,,,
3818,,,,,,,,
3823,,,,,,,,
3957,,,,,,,,
3956,,,,,,,,
3963,,,,,,,,
3962,,,,,,,,
3968,,,,,,,,
3967,,,,,,,,
3964,,,,,,,,
3986,,,,,,,,
3985,,,,,,,,
4089,,,,,,,,
